Name,ID,Nearest Town,County
Abita,16018400,Grand Marais,Cook
Ada,16051500,Tofte,Cook
Agnes,16035900,Lutsen,Cook
Alder,16011400,Grand Marais,Cook
Allen,16032000,Grand Marais,Cook
Alpha,16031100,Maple Hill,Cook
Alpine,16075900,Grand Marais,Cook
Alton,16062200,Tofte,Cook
Ambush,16061800,Tofte,Cook
Anderson,16046900,Lutsen,Cook
Anderson,16047000,Tofte,Cook
Aspen,16020400,Grand Marais,Cook
Assinika,16008800,Grand Marais,Cook
Axe,16040700,Lutsen,Cook
Babble,16025700,Lutsen,Cook
Baker,16048600,Lutsen,Cook
Ball Club,16018200,Grand Marais,Cook
Banadad,16035000,Maple Hill,Cook
Barker,16035800,Lutsen,Cook
Barto,16070100,Forest Center,Cook
Bat,16075200,Grand Marais,Cook
Bath,16016400,Grand Marais,Cook
Bean,16007200,Maple Hill,Cook
Bear Club,16020500,Grand Marais,Cook
Bearskin,16022800,Grand Marais,Cook
Beaver,16006700,Maple Hill,Cook
Bedew,16030000,Maple Hill,Cook
Bench,16006300,Grand Marais,Cook
Benson,16005200,Grand Marais,Cook
Beta,16031200,Maple Hill,Cook
Beth,16065900,Tofte,Cook
Big Snow,16064700,Sawbill Landing,Cook
Bigsby,16034400,Lutsen,Cook
Binagami,16009800,Grand Marais,Cook
Bingshick,16062700,Grand Marais,Cook
Birch,16024700,Grand Marais,Cook
Blue Snow,16053200,Prairie Portage,Cook
Blueberry,16015100,Grand Marais,Cook
Bogenho,16022802,,Cook
Bogus,16005000,Grand Marais,Cook
Bouder,16038300,Grand Marais,Cook
Bow,16021100,Maple Hill,Cook
Bower Trout,16017500,Maple Hill,Cook
Boys,16004400,Grand Marais,Cook
Bradley,16046500,Lutsen,Cook
Brandt,16060000,Prairie Portage,Cook
Brule,16034800,Grand Marais,Cook
Bulge,16036400,Lutsen,Cook
Bull,16027000,Lutsen,Cook
Burnt,16047700,Lutsen,Cook
Calf,16027400,Maple Hill,Cook
Cam,16039700,Lutsen,Cook
Canoe,16011200,Grand Marais,Cook
Caribou,16014100,Grand Marais,Cook
Caribou,16024000,Grand Marais,Cook
Caribou,16036000,Lutsen,Cook
Carl,16022100,Maple Hill,Cook
Carrot,16007100,Grand Marais,Cook
Cascade,16034600,Lutsen,Cook
Cash,16043800,Lutsen,Cook
Cave,16042500,Maple Hill,Cook
Cedar,16064400,Tofte,Cook
Celery,16007400,Maple Hill,Cook
Chaser,16067500,Forest Center,Cook
Cherokee,16052400,Tofte,Cook
Chester,16003300,Hovland,Cook
Christine,16037300,Lutsen,Cook
Chub,16059400,Prairie Portage,Cook
Circle,16011000,Maple Hill,Cook
Clam,16051800,Lutsen,Cook
Clara,16036500,Lutsen,Cook
Clearwater,16013900,Grand Marais,Cook
Cliff,16044600,Maple Hill,Cook
Clove,16058100,Prairie Portage,Cook
Copper,16053800,Forest Center,Cook
Cow,16027100,Maple Hill,Cook
Crab,16035700,Grand Marais,Cook
Crag,16062500,Prairie Portage,Cook
Crescent,16045400,Grand Marais,Cook
Crocodile,16011900,Grand Marais,Cook
Crooked,16072300,Grand Marais,Cook
Cross Bay,16052600,Lutsen,Cook
Crow,16028700,Grand Marais,Cook
Crystal,16009000,Maple Hill,Cook
Cucumber,16013000,Grand Marais,Cook
Daniels,16015000,Grand Marais,Cook
Davis,16043500,Lutsen,Cook
Dawkins,16045900,Maple Hill,Cook
Deer,16013600,Grand Marais,Cook
Deer Yard,16025300,Lutsen,Cook
Dent,16067700,Forest Center,Cook
Devil Track,16014300,Grand Marais,Cook
Devilfish,16002900,Hovland,Cook
Devils Elbow,16061600,Grand Marais,Cook
Dick,16015700,Grand Marais,Cook
Digit,16015200,Grand Marais,Cook
Dislocation,16016700,Grand Marais,Cook
Doe,16054800,Lutsen,Cook
Dogtrot,16036300,Lutsen,Cook
Dollar,16066600,Sawbill Landing,Cook
Dot,16020700,Maple Hill,Cook
Duck,16068700,Forest Center,Cook
Dugout,16017700,Maple Hill,Cook
Duke,16011100,Maple Hill,Cook
Duncan,16023200,Grand Marais,Cook
Dunn,16024500,Grand Marais,Cook
Dutchman,16000200,Grand Portage,Cook
Dyers,16063400,Schroeder,Cook
Eagle,16028800,Maple Hill,Cook
East Bearskin,16014600,Grand Marais,Cook
East Dawkins,16041800,Maple Hill,Cook
East Fox,16063600,Tofte,Cook
