Length,LATcnt,LATpct,NOPcnt,NOPpct,SMBcnt,SMBpct,WAEcnt,WAEpct
0,,0.0000,,0.0000,37,0.0075,,0.0000
1,,0.0000,1,0.0001,660,0.1337,46,0.0025
2,,0.0000,41,0.0025,277,0.0561,206,0.0113
3,,0.0000,45,0.0028,70,0.0142,161,0.0088
4,1,0.0005,30,0.0018,84,0.0170,120,0.0066
5,4,0.0022,23,0.0014,302,0.0612,436,0.0239
6,4,0.0022,10,0.0006,250,0.0506,285,0.0156
7,32,0.0176,11,0.0007,277,0.0561,756,0.0415
8,48,0.0263,48,0.0029,253,0.0512,575,0.0315
9,53,0.0291,106,0.0065,253,0.0512,1095,0.0600
10,64,0.0351,135,0.0083,361,0.0731,1220,0.0669
11,65,0.0357,159,0.0097,295,0.0597,1342,0.0736
12,103,0.0565,245,0.0150,237,0.0480,1613,0.0884
13,112,0.0615,377,0.0231,316,0.0640,1520,0.0833
14,152,0.0834,472,0.0289,367,0.0743,1527,0.0837
15,190,0.1043,641,0.0393,324,0.0656,1280,0.0702
16,219,0.1202,869,0.0533,262,0.0531,1135,0.0622
17,189,0.1037,1161,0.0712,170,0.0344,1028,0.0564
18,116,0.0637,1414,0.0867,93,0.0188,958,0.0525
19,90,0.0494,1509,0.0925,41,0.0083,866,0.0475
20,81,0.0445,1566,0.0960,8,0.0016,627,0.0344
21,61,0.0335,1458,0.0894,1,0.0002,404,0.0222
22,59,0.0324,1275,0.0781,,0.0000,304,0.0167
23,31,0.0170,945,0.0579,,0.0000,204,0.0112
24,35,0.0192,727,0.0446,,0.0000,182,0.0100
25,30,0.0165,651,0.0399,,0.0000,132,0.0072
26,14,0.0077,542,0.0332,,0.0000,82,0.0045
27,19,0.0104,401,0.0246,,0.0000,72,0.0039
28,14,0.0077,300,0.0184,,0.0000,34,0.0019
29,10,0.0055,245,0.0150,,0.0000,21,0.0012
30,5,0.0027,200,0.0123,,0.0000,5,0.0003
31,5,0.0027,153,0.0094,,0.0000,2,0.0001
32,4,0.0022,142,0.0087,,0.0000,,0.0000
33,1,0.0005,87,0.0053,,0.0000,,0.0000
34,3,0.0016,84,0.0051,,0.0000,,0.0000
35,2,0.0011,58,0.0036,,0.0000,,0.0000
36,2,0.0011,48,0.0029,,0.0000,,0.0000
37,2,0.0011,41,0.0025,,0.0000,,0.0000
38,0,0.0000,34,0.0021,,0.0000,,0.0000
39,1,0.0005,24,0.0015,,0.0000,,0.0000
40,1,0.0005,18,0.0011,,0.0000,,0.0000
41,,0.0000,8,0.0005,,0.0000,,0.0000
42,,0.0000,6,0.0004,,0.0000,,0.0000
43,,0.0000,3,0.0002,,0.0000,,0.0000
44,,0.0000,2,0.0001,,0.0000,,0.0000
45,,0.0000,2,0.0001,,0.0000,,0.0000
46,,0.0000,,0.0000,,0.0000,,0.0000
